brand_standardized,products,average_price,median_price,average_rating,total_reviews,average_reviews,average_discount,average_price_per_100ml,product_share_pct
Active White,1,249.0,249.0,3.2,948,948.0,44.66666666666666,4.98,0.3546099290780142
Aliance,1,377.0,377.0,0.0,0,0.0,62.262262262262254,9.425,0.3546099290780142
Aquaone,1,135.0,135.0,3.8,85,85.0,86.48648648648648,2.7,0.3546099290780142
Ariel,22,451.20227272727277,435.125,4.1409090909090915,51179,2326.318181818182,12.452435150535141,19.169109848484847,7.801418439716312
Axxl,2,365.0,365.0,0.0,0,0.0,75.66666666666666,7.300000000000001,0.7092198581560284
Azafran,1,400.0,400.0,4.6,5,5.0,0.0,40.0,0.3546099290780142
Bb Home,4,294.5,297.0,3.6,967,241.75,33.05419808949221,15.390625,1.4184397163120568
Beco,7,205.71428571428572,225.0,3.8000000000000003,1122,160.28571428571428,38.78479783568436,11.455555555555556,2.4822695035460995
Binrola,4,402.0,402.0,3.9499999999999997,309,77.25,66.4720600500417,8.04,1.4184397163120568
Biosense,1,350.55,350.55,,0,0.0,4.9999999999999964,43.764044943820224,0.3546099290780142
Borees,1,213.0,213.0,5.0,47,47.0,73.34167709637046,4.26,0.3546099290780142
Born Good,2,783.995,783.995,4.3,6,3.0,27.025136918159056,40.438700000000004,0.7092198581560284
Bosch,5,1037.6,1099.0,0.45999999999999996,4,0.8,14.658304175323957,103.76000000000002,1.773049645390071
Brillyarie,2,234.0,234.0,4.55,278,139.0,76.57657657657657,4.68,0.7092198581560284
Bryght,1,645.0,645.0,0.0,0,0.0,24.825174825174827,12.9,0.3546099290780142
Bubblenut,2,949.0,949.0,4.55,40,20.0,0.0,34.940000000000005,0.7092198581560284
Cleancraft,1,247.0,247.0,5.0,11,11.0,75.27527527527528,4.94,0.3546099290780142
Cleannxo,6,219.83333333333334,215.0,0.0,0,0.0,81.84822116052091,4.3966666666666665,2.127659574468085
Clinermax,2,307.5,307.5,0.0,0,0.0,79.48632421614408,6.15,0.7092198581560284
Detergent,1,399.0,399.0,5.0,16,16.0,11.1358574610245,3.99,0.3546099290780142
Dhamu,1,425.0,425.0,0.0,0,0.0,71.64776517678453,8.5,0.3546099290780142
Dhaxi,1,306.0,306.0,4.2,12,12.0,74.47873227689742,6.12,0.3546099290780142
Dr Wash,1,270.0,270.0,4.5,2,2.0,41.30434782608695,13.5,0.3546099290780142
Duqer,1,270.0,270.0,0.0,0,0.0,32.33082706766917,5.4,0.3546099290780142
Egret,2,595.5,595.5,0.0,0,0.0,25.122106943335993,33.35,0.7092198581560284
Elo Clean,1,499.0,499.0,4.0,1,1.0,0.0,16.633333333333333,0.3546099290780142
Elovia,1,382.0,382.0,5.0,12,12.0,57.50834260289211,8.488888888888889,0.3546099290780142
Enzo,1,195.0,195.0,5.0,2,2.0,2.010050251256281,9.75,0.3546099290780142
Febway,1,130.0,130.0,3.7,1079,1079.0,89.99230177059276,2.6,0.3546099290780142
Flisko,7,243.0,248.0,4.071428571428571,258,36.857142857142854,68.33304043587641,4.859999999999999,2.4822695035460995
Fressho,1,667.0,667.0,4.3,429,429.0,58.28642901813633,80.84848484848484,0.3546099290780142
Front,1,460.0,460.0,4.5,4,4.0,36.11111111111111,46.0,0.3546099290780142
Gelveera,1,155.0,155.0,0.0,0,0.0,84.48448448448448,3.1,0.3546099290780142
Genteel,4,438.525,438.5,4.175,9252,2313.0,9.234848484848483,14.804375,1.4184397163120568
Ghadi,3,361.0,449.0,4.366666666666666,957,319.0,10.965251209489686,9.716666666666667,1.0638297872340425
Godrej Ezee,3,317.40000000000003,382.2,4.233333333333333,2272,757.3333333333334,0.6666666666666675,21.87,1.0638297872340425
Godrej Fab,5,276.63,215.0,4.34,4108,821.6,8.270784641068449,11.845749999999999,1.773049645390071
Henko,9,323.09222222222223,374.4,4.144444444444444,8342,926.8888888888889,26.07285910345693,12.885070833333334,3.1914893617021276
Herbal Strategi,1,465.0,465.0,,0,0.0,0.0,46.5,0.3546099290780142
IBF,6,712.3333333333334,678.5,2.6,118,19.666666666666668,42.08010259883057,44.71333333333333,2.127659574468085
IFB,8,910.25,616.0,4.3375,1048,131.0,28.163461075827563,537.26875,2.8368794326241136
Igreja,1,334.0,334.0,3.9,10,10.0,86.63465386154462,13.36,0.3546099290780142
Iszk,3,270.0,315.0,3.1333333333333333,26,8.666666666666666,72.97297297297297,5.3999999999999995,1.0638297872340425
Justmixx,4,744.75,727.5,4.45,88,22.0,26.447544751380164,103.00401515151516,1.4184397163120568
K2Square,2,283.0,283.0,4.0,3441,1720.5,78.21401077752117,5.66,0.7092198581560284
Koparo,4,587.0825,595.1700000000001,4.3,8,2.0,50.38247863247863,15.974275,1.4184397163120568
Krishpa,1,852.0,852.0,0.0,0,0.0,14.8,17.04,0.3546099290780142
Leelambari,1,144.0,144.0,3.2,18,18.0,85.58558558558559,2.88,0.3546099290780142
Lightglow,1,133.0,133.0,3.6,21,21.0,87.89808917197452,2.66,0.3546099290780142
Liquid,1,,,,1,1.0,,,0.3546099290780142
Lisops,1,262.0,262.0,3.3,18,18.0,62.51788268955652,13.1,0.3546099290780142
Luvion,2,174.0,174.0,0.0,0,0.0,65.13026052104209,34.8,0.7092198581560284
Mkrb,1,200.0,200.0,3.8,44087,44087.0,79.97997997997997,4.0,0.3546099290780142
Moon,2,443.0,443.0,4.25,376,188.0,55.65565565565565,8.86,0.7092198581560284
Moon & Mount,2,554.94,554.94,4.05,7,3.5,50.571098062623484,9.249,0.7092198581560284
More,2,399.0,399.0,4.300000000000001,167,83.5,28.69449081803005,7.979999999999999,0.7092198581560284
Mr White,1,189.0,189.0,4.2,1,1.0,,9.45,0.3546099290780142
Mr. White,1,190.0,190.0,4.2,294,294.0,13.636363636363637,9.5,0.3546099290780142
Mrn,3,223.66666666666666,268.0,0.0,0,0.0,41.58199145359396,8.073333333333332,1.0638297872340425
Octive,1,525.0,525.0,4.0,20,20.0,78.99159663865547,10.5,0.3546099290780142
Organic,1,229.0,229.0,5.0,1,1.0,42.606516290726816,11.45,0.3546099290780142
Parryware,1,309.0,309.0,4.3,4,4.0,14.166666666666666,30.9,0.3546099290780142
Patanjali,1,77.6,77.6,4.3,913,913.0,3.000000000000007,15.519999999999998,0.3546099290780142
Presto,6,592.6666666666666,574.0,4.166666666666667,21,3.5,43.99484381063252,10.461666666666668,2.127659574468085
Procent,1,448.0,448.0,0.0,0,0.0,62.63552960800667,8.959999999999999,0.3546099290780142
Pumk,1,149.0,149.0,3.7,110,110.0,85.08508508508508,1.49,0.3546099290780142
Purela,6,480.3333333333333,489.0,4.0,5074,845.6666666666666,58.4343459789086,9.312777777777777,2.127659574468085
Qssiy,4,354.5,349.0,4.1,42,10.5,56.87292518804028,7.126666666666668,1.4184397163120568
R&M,2,166.5,166.5,1.9,33,16.5,79.16145181476847,16.65,0.7092198581560284
Reldor,2,126.0,126.0,3.8499999999999996,4177,2088.5,87.92022231512678,2.52,0.7092198581560284
Right,4,317.5,360.0,4.525,198,49.5,63.44312510390249,6.35,1.4184397163120568
Rin,6,312.6666666666667,298.0,4.366666666666666,3060,510.0,10.944053441488727,12.129166666666668,2.127659574468085
Safewash,10,357.555,342.5,3.9899999999999998,2672,267.2,25.74700953230984,15.945611111111111,3.546099290780142
Shatras,3,486.6666666666667,332.0,3.9,670,223.33333333333334,68.31632778069417,9.733333333333333,1.0638297872340425
Shimmer,1,650.0,650.0,3.1,603,603.0,,13.0,0.3546099290780142
Shynix,1,428.0,428.0,0.0,0,0.0,49.64705882352941,8.559999999999999,0.3546099290780142
Staypure,3,831.6666666666666,692.0,4.2,646,215.33333333333334,20.245590235458796,162.90136901369016,1.0638297872340425
Sukruti,1,222.0,222.0,0.0,0,0.0,75.3058954393771,4.44,0.3546099290780142
Sunlight,1,225.0,225.0,4.5,29,29.0,25.0,11.25,0.3546099290780142
Surf Excel,17,380.00823529411764,320.0,4.158823529411765,19457,1144.5294117647059,11.170053309542459,19.040851700921333,6.028368794326241
Tide,10,237.416,173.5,4.2625,2668,266.8,9.39967952342056,15.741629411764706,3.546099290780142
Trending,1,306.0,306.0,4.2,12,12.0,74.47873227689742,6.12,0.3546099290780142
Trivion,2,188.0,188.0,0.0,0,0.0,52.88220551378447,18.8,0.7092198581560284
Ujala,5,344.738,396.0,4.24,530,106.0,30.88954710368996,10.73845,1.773049645390071
Unknown,27,620.3274074074075,330.0,3.453333333333333,1306,48.370370370370374,11.925925925925926,32.95242645229209,9.574468085106384
Vanish,1,197.8,197.8,4.2,8081,8081.0,7.999999999999995,24.725,0.3546099290780142
Velviya,1,158.0,158.0,3.6,95,95.0,82.42491657397107,3.16,0.3546099290780142
Vooki,1,738.0,738.0,4.1,356,356.0,,92.13483146067416,0.3546099290780142
Wng,1,217.0,217.0,3.8,176,176.0,85.52368245496999,4340.0,0.3546099290780142
Wokav,1,203.0,203.0,4.3,3,3.0,74.59324155193993,20.3,0.3546099290780142
