analysis_id,product_id,brand,brand_standardized,company_group,team_thai_match_confidence,product_name,product_category,pack_size,pack_size_value,pack_size_unit,pack_size_ml,pack_size_g,wash_type,mrp,selling_price,price_per_100ml,price_per_100g,price_segment,discount_pct,discount_pct_calculated,rating,rating_count,review_engagement,price_status,rating_status,pack_size_status,data_quality_score,data_quality_category,duplicate_product_flag,marketplace,source,product_url,product_image_url,collection_date,price_per_100ml_calculated,price_per_100g_calculated,mrp_status,rating_count_status,review_strength
1,B0D6MY6FMR,Ariel,Ariel,Competitor,Not Team Thai,Ariel Power Gel Liquid Detergent for Top Load & Semi Auto – 6kg | Removes 100 Dried Stains in 1 Wash | Faster Dissolving | Long-Lasting Fragrance | Color Protection | At the price of Powders,Liquid Detergent,6 kg,6.0,kg,,6000.0,Top Load,1009.0,810.0,,13.5,Premium,19.72,19.722497522299307,4.4,5.0,Very Low,Valid,Valid,Available,95,Excellent,False,Amazon India,Amazon India,,https://m.media-amazon.com/images/I/71X1Jt6RcWL._AC_UL320_.jpg,2026-08-18,,13.5,Valid,Valid,Very Low
2,B0CH9SJVBP,Beco,Beco,Competitor,Not Team Thai,Beco Natural Liquid Detergent Top Load - 2L Refill Pack | Tough Stain Removal | Lavender & Vanilla Freshness | Retains Brightness & Shine | Chemical Free | Top Load Washing Machine Detergent Liquid,Liquid Detergent,2 l,2.0,l,2000.0,,Top Load,399.0,225.0,11.25,,Mass Market,43.61,43.609022556390975,4.2,5.0,Very Low,Valid,Valid,Available,95,Excellent,False,Amazon India,Amazon India,,https://m.media-amazon.com/images/I/614wytJZHXL._AC_UL320_.jpg,2026-08-18,11.25,,Valid,Valid,Very Low
3,B0H6K3BZGB,Enzo,Enzo,Competitor,Not Team Thai,"ENZO | All-in-One Liquid Laundry Detergent | Tough Stain Remover | Front Load, Top Load & Hand Wash | Fresh Fragrance | 2L",Liquid Detergent,2 l,2.0,l,2000.0,,Front + Top Load,199.0,195.0,9.75,,Mass Market,2.01,2.010050251256281,5.0,2.0,Very Low,Valid,Valid,Available,95,Excellent,False,Amazon India,Amazon India,,https://m.media-amazon.com/images/I/71XKKh7WfOL._AC_UL320_.jpg,2026-08-18,9.75,,Valid,Valid,Very Low
4,B0F5MZJBPP,Vooki,Vooki,Competitor,Not Team Thai,"Vooki Biosense Top And Front Load Liquid Detergent With Double Concentrated Formula for Tough Stain Remover, Enhances Fabric Life & Softness - 801 ml (Pack of 2)",Liquid Detergent,801 ml,801.0,ml,801.0,,Front Load,,738.0,92.13483146067416,,Premium,,,4.1,356.0,Moderate,Valid,Valid,Available,95,Excellent,False,Amazon India,Amazon India,,https://m.media-amazon.com/images/I/71oHPT-NNmL._AC_UL320_.jpg,2026-08-18,92.13483146067416,,Missing,Valid,Moderate
5,B0D6RKR54N,Safewash,Safewash,Competitor,Not Team Thai,Safewash Front Load Matic Premium Liquid Detergent Refill Pouch | Colour Protect Technology | 2X Stain Removal | Suitable for All Fabrics | 3L or above,Liquid Detergent,3 l,3.0,l,3000.0,,Front Load,715.0,355.0,11.833333333333334,,Mid Premium,50.35,50.349650349650354,4.4,534.0,Moderate,Valid,Valid,Available,95,Excellent,False,Amazon India,Amazon India,,https://m.media-amazon.com/images/I/619Yj-RaAiL._AC_UL320_.jpg,2026-08-18,11.833333333333334,,Valid,Valid,Moderate
6,B0DPX93PJ9,Surf Excel,Surf Excel,Competitor,Not Team Thai,"Surf Excel Matic Top Load Liquid Detergent 5Kg Refill Pouch, Specially designed to remove Tough Dried Stains, 1st time in Washing Machine",Liquid Detergent,5 kg,5.0,kg,,5000.0,Top Load,740.0,651.0,,13.02,Premium,12.03,12.027027027027028,4.4,6.0,Very Low,Valid,Valid,Available,100,Excellent,False,Amazon India,Amazon India,https://www.amazon.in/Surf-Excel-Detergent-Specially-designed/dp/B0DPX93PJ9/ref=sr_1_6,https://m.media-amazon.com/images/I/61ShrCBCKrL._AC_UL320_.jpg,2026-08-18,,13.02,Valid,Valid,Very Low
7,B0GPRPQF23,Godrej Fab,Godrej Fab,Competitor,Not Team Thai,Godrej Fab Liquid Detergent Refill Pouch for Machine & Hand Wash - 5L/5kg,Liquid Detergent,5 l,5.0,l,5000.0,,Hand Wash,599.0,525.0,10.5,,Mid Premium,12.35,12.353923205342236,4.3,13.0,Low,Valid,Valid,Available,100,Excellent,False,Amazon India,Amazon India,https://www.amazon.in/Godrej-Fab-Liquid-Detergent-Machine/dp/B0GPRPQF23/ref=sr_1_7,https://m.media-amazon.com/images/I/81j4fQTBsYL._AC_UL320_.jpg,2026-08-18,10.5,,Valid,Valid,Low
8,B0CTH85SN6,Tide,Tide,Competitor,Not Team Thai,Tide Power Gel Liquid Detergent for Top Load & Front Load - 3.2kg | 2x Deep Clean Power | Removes Stains & Dirt | Freshness Boost | Fresh Fragrance,Liquid Detergent,3.2 kg,3.2,kg,,3200.0,Front + Top Load,405.0,368.0,,11.5,Mid Premium,9.14,9.135802469135802,4.3,4.0,Very Low,Valid,Valid,Available,100,Excellent,False,Amazon India,Amazon India,https://www.amazon.in/Tide-Liquid-Detergent-Washing-Machine/dp/B0CTH85SN6/ref=sr_1_8,https://m.media-amazon.com/images/I/71d3DWhL10L._AC_UL320_.jpg,2026-08-18,,11.5,Valid,Valid,Very Low
9,B0D2F7NS75,More,More,Competitor,Not Team Thai,"More Light Extra Power Liquid Detergent 5 Litre Pouch with Enzymatic Action Removes Tough Stain | Laundry Liquid Detergent with Refreshing Fragrance for Bucket Wash, Top Load & Front Load Machines",Liquid Detergent,5 l,5.0,l,5000.0,,Front + Top Load,525.0,399.0,7.979999999999999,,Mid Premium,24.0,24.0,4.2,4.0,Very Low,Valid,Valid,Available,100,Excellent,False,Amazon India,Amazon India,https://www.amazon.in/Detergent-Enzymatic-Refreshing-Fragrance-Machines/dp/B0D2F7NS75/ref=sr_1_9,https://m.media-amazon.com/images/I/71MmsLIiu5L._AC_UL320_.jpg,2026-08-18,7.979999999999999,,Valid,Valid,Very Low
10,B0B6J1GM93,Tide,Tide,Competitor,Not Team Thai,Tide Power Gel Liquid Detergent for Top Load & Front Load - 1kg | 2x Deep Clean Power | Removes Stains & Dirt | Freshness Boost | Fresh Fragrance,Liquid Detergent,1 kg,1.0,kg,,1000.0,Front + Top Load,217.0,188.0,,18.8,Mass Market,13.36,13.36405529953917,4.3,4.0,Very Low,Valid,Valid,Available,95,Excellent,True,Amazon India,Amazon India,,https://m.media-amazon.com/images/I/71CJTz45L4L._AC_UL320_.jpg,2026-08-18,,18.8,Valid,Valid,Very Low
