brand_standardized,products,average_price,average_rating,total_reviews
Ariel,8,726.05625,4.1375,30969.0
Unknown,7,1317.5714285714287,3.4,12.0
IFB,5,1210.2,4.4799999999999995,381.0
Surf Excel,4,719.0,3.6750000000000003,3665.0
IBF,3,921.0,4.25,103.0
Justmixx,2,907.5,4.449999999999999,32.0
Presto,2,762.0,4.2,8.0
Koparo,2,891.99,4.3,4.0
Born Good,2,783.995,4.3,6.0
Bubblenut,1,1499.0,4.8,4.0
Bryght,1,645.0,,0.0
Bosch,1,792.0,2.3,4.0
Genteel,1,604.5,4.1,17.0
Krishpa,1,852.0,,0.0
Egret,1,655.0,,0.0
Fressho,1,667.0,4.3,429.0
Safewash,1,643.5,4.1,55.0
Shimmer,1,650.0,3.1,603.0
Shatras,1,799.0,4.0,3.0
Staypure,1,1369.0,4.1,48.0
Vooki,1,738.0,4.1,356.0
