positioning_category,products,market_share_pct,average_price,average_rating,total_reviews
Machine Wash,171,65.2671755725191,425.20411764705887,4.075838926174497,124992.0
Stain Removal,53,20.229007633587788,413.2148076923077,4.263265306122449,45525.0
Fragrance,50,19.083969465648856,423.28489795918364,4.2325,6254.0
Hand Wash,24,9.16030534351145,394.2008333333333,4.085714285714285,11186.0
Eco / Natural,17,6.488549618320611,474.62437500000004,4.035714285714286,2439.0
Color Protection,16,6.106870229007633,467.2425,4.30625,3188.0
Fabric Care,12,4.580152671755725,479.0,4.0636363636363635,3818.0
Baby / Sensitive,11,4.198473282442748,653.194,4.414285714285714,33.0
Concentrated,6,2.2900763358778624,448.3283333333334,4.159999999999999,2278.0
Germ Protection,4,1.5267175572519083,394.75,4.275,815.0
