product_id,brand,product_name,pack_size,pack_size_value,pack_size_unit,mrp,selling_price,discount_pct,rating,rating_count,product_url,product_image_url,source,collection_date,pack_size_ml,pack_size_g,price_per_100ml_calculated,price_per_100g_calculated,brand_standardized,company_group,discount_pct_calculated,product_category,price_per_100ml,data_quality_score,data_quality_category,is_duplicate,price_segment
FLIP_0031,Mkrb,"MKRB top load and front load liquid detergent, machine,... 5000 ml 3.8(44,087) ₹200₹99979% off Hot Deal",5000 ml,5000.0,ml,999.0,200.0,79.0,3.8,44087,https://www.flipkart.com/mkrb-top-load-front-liquid-detergent-machine-wash-detergent-lavender/p/itm85207a0ee3445?pid=LDGGHD8CUDMVMZRZ&lid=LSTLDGGHD8CUDMVMZRZBAU0WR&marketplace=FLIPKART&q=liquid+laundry+detergent&store=rja%2Fplv%2Fxdq&srno=s_1_5&otracker=search&fm=organic&iid=e7026340-8f51-48ad-b3ba-9b5010b21cab.LDGGHD8CUDMVMZRZ.SEARCH&ppt=None&ppn=None&ssid=lw3jxa0l800000001786988001070&qH=268dd2fba3560d47&ov_redirect=true&ov_redirect=true,https://rukminim2.flixcart.com/image/612/612/xif0q/liquid-detergent/5/a/n/5000-top-load-and-front-load-liquid-detergent-machine-wash-original-imagmvpgzgu2eg9k.jpeg?q=70,Flipkart,17-08-26,5000.0,,4.0,,Mkrb,Competitor,79.97997997997997,Liquid Detergent,4.0,100.0,Excellent,False,Mass Market (₹150–299)
FLIP_0001,Ariel,"Ariel Topload Stain Fresh Liquid Detergent 4 kg 4.4(23,044) ₹865₹99913% off Lowest price since launch",4 kg,4.0,kg,999.0,865.0,13.0,4.4,23044,https://www.flipkart.com/ariel-topload-stain-fresh-liquid-detergent/p/itm63dd807891d0f?pid=LDGGXAU7RW9P3HHT&lid=LSTLDGGXAU7RW9P3HHTFCZFG4&marketplace=FLIPKART&q=liquid+detergent&store=rja%2Fplv%2Fxdq&srno=s_1_4&otracker=search&fm=organic&iid=31403ccf-c8b1-4fd8-bf35-8b00e2324dcf.LDGGXAU7RW9P3HHT.SEARCH&ppt=None&ppn=None&ssid=hvq3bdkw400000001786987994324&qH=3797422074e1f609&ov_redirect=true&ov_redirect=true,https://rukminim2.flixcart.com/image/612/612/xif0q/liquid-detergent/y/p/l/-enriched-transparent-original-imahjhtyhjur2zej.png?q=70,Flipkart,17-08-26,4000.0,4000.0,,21.625,Ariel,Competitor,13.413413413413414,Liquid Detergent,21.625,100.0,Excellent,False,Premium (₹600–999)
BB_0009,Ariel,"Ariel Power Gel Top Load & Semi Auto Liquid Detergent, 2 kg (Get 500 g Free)",2 kg,2.0,kg,455.0,432.25,5.0,4.2,9120,https://www.bigbasket.com/pd/40195403/ariel-matic-liquid-detergent-top-load-25-l/,"https://www.bbassets.com/media/uploads/p/s/40195403_17-ariel-matic-liquid-detergent-top-load.jpg?tr=w-80,q-80",BigBasket,18-08-26,2000.0,2000.0,,21.6125,Ariel,Competitor,5.0,Liquid Detergent,21.6125,100.0,Excellent,False,Mid Premium (₹300–599)
BB_0008,Genteel,"Genteel Matic Liquid Detergent - For Top Load Washing, 2 kg Pouch",2 kg,2.0,kg,290.0,272.6,6.0,4.2,9106,https://www.bigbasket.com/pd/40191480/genteel-liquid-detergent-refill-2-kg-pouch/,"https://www.bbassets.com/media/uploads/p/s/40191480_6-genteel-liquid-detergent-refill.jpg?tr=w-80,q-80",BigBasket,18-08-26,2000.0,2000.0,,13.63,Genteel,Competitor,5.999999999999992,Liquid Detergent,13.63,100.0,Excellent,False,Mass Market (₹150–299)
BB_0004,Surf Excel,"Surf Excel Matic Top Load Liquid Detergent, 4 kg Refill Pouch",4 kg,4.0,kg,718.0,524.14,27.0,4.1,8387,https://www.bigbasket.com/pd/40320189/surf-excel-matic-top-load-liquid-detergent-refill-4-l-pouch/,"https://www.bbassets.com/media/uploads/p/s/40320189_6-surf-excel-matic-top-load-liquid-detergent-refill.jpg?tr=w-80,q-80",BigBasket,18-08-26,4000.0,4000.0,,13.1035,Surf Excel,Competitor,27.0,Liquid Detergent,13.1035,100.0,Excellent,False,Mid Premium (₹300–599)
BB_0036,Vanish,"Vanish Oxi Action All In One Stain Remover Detergent Liquid, 800 ml",800 ml,800.0,ml,215.0,197.8,8.0,4.2,8081,https://www.bigbasket.com/pd/40007913/vanish-all-in-one-detergent-booster-bottle-oxi-action-800-ml/,"https://www.bbassets.com/media/uploads/p/s/40007913_17-vanish-all-in-one-detergent-booster-bottle-oxi-action.jpg?tr=w-80,q-80",BigBasket,18-08-26,800.0,,24.725,,Vanish,Competitor,7.999999999999995,Liquid Detergent,24.725,100.0,Excellent,False,Mass Market (₹150–299)
BB_0020,Ariel,"Ariel Power Gel Front Load Liquid Detergent, 2 kg (Get 500 g Free)",2 kg,2.0,kg,525.0,498.75,5.0,4.2,5837,https://www.bigbasket.com/pd/40195404/ariel-ariel-matic-front-load-liquid-detergent-25-l/,"https://www.bbassets.com/media/uploads/p/s/40195404_17-ariel-ariel-matic-front-load-liquid-detergent.jpg?tr=w-80,q-80",BigBasket,18-08-26,2000.0,2000.0,,24.9375,Ariel,Competitor,5.0,Liquid Detergent,24.9375,100.0,Excellent,False,Mid Premium (₹300–599)
BB_0019,Surf Excel,"Surf Excel Easy Wash Liquid Detergent, 1 L",1 L,1.0,l,205.0,205.0,0.0,4.3,5264,https://www.bigbasket.com/pd/40164596/surf-excel-easy-wash-detergent-liquid-1-l/,"https://www.bbassets.com/media/uploads/p/s/40164596_7-surf-excel-easy-wash-detergent-liquid.jpg?tr=w-80,q-80",BigBasket,18-08-26,1000.0,,20.5,,Surf Excel,Competitor,0.0,Liquid Detergent,20.5,100.0,Excellent,False,Mass Market (₹150–299)
FLIP_0085,Purela,"PURELA Liquid Detergent, Suitable for top load detergen... 5000 ml 4.1(4,848) ₹489₹1,09955% off Only few left",5000 ml,5000.0,ml,1099.0,489.0,55.0,4.1,4848,https://www.flipkart.com/purela-liquid-detergent-suitable-top-load-detergent-front-wash-machine-hand-fresh/p/itmc5c16db069223?pid=LDGGFBSQJGWVPTW9&lid=LSTLDGGFBSQJGWVPTW97DUNF2&marketplace=FLIPKART&q=liquid+detergent+front+load&store=rja%2Fplv%2Fxdq&srno=s_1_16&otracker=search&fm=organic&iid=4e7f22b4-9de2-4d69-8348-38203ce1ad3e.LDGGFBSQJGWVPTW9.SEARCH&ppt=sp&ppn=sp&ssid=r2w85k1iio0000001786988029527&qH=512f6544c3919989&ov_redirect=true&ov_redirect=true,https://rukminim2.flixcart.com/image/612/612/xif0q/liquid-detergent/f/1/4/5000-liquid-detergent-suitable-for-top-load-detergent-and-front-original-imahgypyvtgnh8nh.jpeg?q=70,Flipkart,17-08-26,5000.0,,9.78,,Purela,Competitor,55.50500454959055,Liquid Detergent,9.78,100.0,Excellent,False,Mid Premium (₹300–599)
FLIP_0018,Reldor,"RELDOR Liquid Detergent 5L, For Hand Wash, Front and To... 5 L 3.8(3,963) ₹117₹1,09989% off Hot Deal",5L,5.0,l,1099.0,117.0,89.0,3.8,3963,https://www.flipkart.com/reldor-liquid-detergent-5l-hand-wash-front-top-load-washing-machine-lavender/p/itm8a4e628580c60?pid=LDGGYJMACF9WHDEQ&lid=LSTLDGGYJMACF9WHDEQVN4QUQ&marketplace=FLIPKART&q=liquid+detergent&store=rja%2Fplv%2Fxdq&srno=s_1_24&otracker=search&fm=organic&iid=31403ccf-c8b1-4fd8-bf35-8b00e2324dcf.LDGGYJMACF9WHDEQ.SEARCH&ppt=None&ppn=None&ssid=hvq3bdkw400000001786987994324&qH=3797422074e1f609&ov_redirect=true&ov_redirect=true,https://rukminim2.flixcart.com/image/612/612/xif0q/liquid-detergent/4/2/4/5-liquid-detergent-5l-for-hand-wash-front-and-top-load-washing-original-imahfpq5xgxxsmc5.jpeg?q=70,Flipkart,17-08-26,5000.0,,2.34,,Reldor,Competitor,89.35395814376706,Liquid Detergent,2.34,100.0,Excellent,False,Budget (<₹150)
BB_0024,Ariel,"Ariel Power Gel Top Load & Semi Auto Liquid Detergent, 6 kg",6 kg,6.0,kg,1009.0,758.5,25.0,4.2,3819,https://www.bigbasket.com/pd/40326741/ariel-matic-top-load-liquid-detergent-4-l/,"https://www.bbassets.com/media/uploads/p/s/40326741_13-ariel-matic-top-load-liquid-detergent.jpg?tr=w-80,q-80",BigBasket,18-08-26,6000.0,6000.0,,12.641666666666667,Ariel,Competitor,24.826560951437067,Liquid Detergent,12.641666666666667,100.0,Excellent,False,Premium (₹600–999)
BB_0006,Surf Excel,"Surf Excel Matic Front Load Liquid Detergent, 5 kg",5 kg,5.0,kg,932.0,749.0,20.0,1.5,3648,https://www.bigbasket.com/pd/40334084/surf-excel-matic-front-load-liquid-detergent-5-l-pouch/,"https://www.bbassets.com/media/uploads/p/s/40334084_9-surf-excel-matic-front-load-liquid-detergent.jpg?tr=w-80,q-80",BigBasket,18-08-26,5000.0,5000.0,,14.98,Surf Excel,Competitor,19.63519313304721,Liquid Detergent,14.98,100.0,Excellent,False,Premium (₹600–999)
BB_0001,Godrej Fab,"Godrej Fab Liquid Detergent For Machine & Bucket Wash, 800 g",800 g,800.0,g,99.0,99.0,0.0,4.4,3429,https://www.bigbasket.com/pd/900456920/godrej-fab-liquid-detergent-for-machine-hand-wash-1-l-refill-pouch/,"https://www.bbassets.com/media/uploads/p/s/900456920_9-godrej-fab-liquid-detergent-for-machine-hand-wash.jpg?tr=w-80,q-80",BigBasket,18-08-26,800.0,800.0,,12.375,Godrej Fab,Competitor,0.0,Liquid Detergent,12.375,100.0,Excellent,False,Budget (<₹150)
BB_0091,Ariel,"Ariel Matic Top & Front Load Liquid Detergent, 1 L",1 L,1.0,l,215.0,215.0,0.0,4.3,3416,https://www.bigbasket.com/pd/40151783/ariel-matic-liquid-detergent-1-l/,"https://www.bbassets.com/media/uploads/p/s/40151783_5-ariel-matic-liquid-detergent.jpg?tr=w-80,q-80",BigBasket,18-08-26,1000.0,,21.5,,Ariel,Competitor,0.0,Liquid Detergent,21.5,100.0,Excellent,False,Mass Market (₹150–299)
FLIP_0078,Henko,"Henko Stain Care Front Load Fresh Liquid Detergent 2 L 4.3(3,395) ₹166₹44062% off Value 365",2 L,2.0,l,440.0,166.0,62.0,4.3,3395,https://www.flipkart.com/henko-stain-care-front-load-fresh-liquid-detergent/p/itm19e32433ec8e2?pid=LDGHFPS9RBZNJXVU&lid=LSTLDGHFPS9RBZNJXVU7WBYFJ&marketplace=FLIPKART&q=liquid+detergent+front+load&store=rja%2Fplv%2Fxdq&srno=s_1_5&otracker=search&fm=organic&iid=4e7f22b4-9de2-4d69-8348-38203ce1ad3e.LDGHFPS9RBZNJXVU.SEARCH&ppt=sp&ppn=sp&ssid=r2w85k1iio0000001786988029527&qH=512f6544c3919989&ov_redirect=true&ov_redirect=true,https://rukminim2.flixcart.com/image/612/612/xif0q/liquid-detergent/h/a/y/-original-imah3apruzxvz4wj.jpeg?q=70,Flipkart,17-08-26,2000.0,,8.3,,Henko,Competitor,62.27272727272727,Liquid Detergent,8.3,100.0,Excellent,False,Mass Market (₹150–299)
FLIP_0087,Henko,"Henko Stain Care Front Load Fresh Liquid Detergent 1 L 4.3(3,395) ₹129₹21038% off Value 365",1 L,1.0,l,210.0,129.0,38.0,4.3,3395,https://www.flipkart.com/henko-stain-care-front-load-fresh-liquid-detergent/p/itm19e32433ec8e2?pid=LDGHFPS9SVTQCERZ&lid=LSTLDGHFPS9SVTQCERZLS810X&marketplace=FLIPKART&q=liquid+detergent+front+load&store=rja%2Fplv%2Fxdq&srno=s_1_22&otracker=search&fm=organic&iid=4e7f22b4-9de2-4d69-8348-38203ce1ad3e.LDGHFPS9SVTQCERZ.SEARCH&ppt=sp&ppn=sp&ssid=r2w85k1iio0000001786988029527&qH=512f6544c3919989&ov_redirect=true&ov_redirect=true,https://rukminim2.flixcart.com/image/612/612/xif0q/liquid-detergent/k/h/v/1-stain-care-detergent-liquid-front-load-henko-enriched-transparent-original-imah38khbt8ttyh6.png?q=70,Flipkart,17-08-26,1000.0,,12.9,,Henko,Competitor,38.57142857142858,Liquid Detergent,12.9,100.0,Excellent,False,Budget (<₹150)
BB_0012,Ariel,"Ariel Power Gel Front Load Liquid Detergent, 6 kg",6 kg,6.0,kg,1135.0,862.6,24.0,4.1,3281,https://www.bigbasket.com/pd/40326742/ariel-matic-front-load-liquid-detergent-4-l/,"https://www.bbassets.com/media/uploads/p/s/40326742_13-ariel-matic-front-load-liquid-detergent.jpg?tr=w-80,q-80",BigBasket,18-08-26,6000.0,6000.0,,14.376666666666669,Ariel,Competitor,24.0,Liquid Detergent,14.376666666666669,100.0,Excellent,False,Premium (₹600–999)
BB_0002,Rin,"Rin Matic Top Load Liquid Detergent, 2 kg Pouch",2 kg,2.0,kg,260.0,221.0,15.0,4.2,2418,https://www.bigbasket.com/pd/40281926/rin-matic-liquid-removes-tough-stains-safe-on-hands-for-hand-machine-wash-2-l-pouch/,"https://www.bbassets.com/media/uploads/p/s/40281926_11-rin-matic-liquid-removes-tough-stains-safe-on-hands-for-hand-machine-wash.jpg?tr=w-80,q-80",BigBasket,18-08-26,2000.0,2000.0,,11.05,Rin,Competitor,15.0,Liquid Detergent,11.05,100.0,Excellent,False,Mass Market (₹150–299)
