product_id,brand,product_name,pack_size,pack_size_value,pack_size_unit,mrp,selling_price,discount_pct,rating,rating_count,product_url,product_image_url,source,collection_date,pack_size_ml,pack_size_g,price_per_100ml_calculated,price_per_100g_calculated,brand_standardized,company_group,discount_pct_calculated,product_category,price_per_100ml,data_quality_score,data_quality_category,is_duplicate
B0D6MY6FMR,Ariel,Ariel Power Gel Liquid Detergent for Top Load & Semi Auto – 6kg | Removes 100 Dried Stains in 1 Wash | Faster Dissolving | Long-Lasting Fragrance | Color Protection | At the price of Powders,6 kg,6.0,kg,1009.0,810.0,19.72,4.4,5,,https://m.media-amazon.com/images/I/71X1Jt6RcWL._AC_UL320_.jpg,Amazon India,2026-08-18,6000.0,6000.0,,13.5,Ariel,Competitor,19.722497522299307,Liquid Detergent,13.5,100.0,Excellent,False
B0CH9SJVBP,Beco,Beco Natural Liquid Detergent Top Load - 2L Refill Pack | Tough Stain Removal | Lavender & Vanilla Freshness | Retains Brightness & Shine | Chemical Free | Top Load Washing Machine Detergent Liquid,2 l,2.0,l,399.0,225.0,43.61,4.2,5,,https://m.media-amazon.com/images/I/614wytJZHXL._AC_UL320_.jpg,Amazon India,2026-08-18,2000.0,,11.25,,Beco,Competitor,43.609022556390975,Liquid Detergent,11.25,100.0,Excellent,False
B0H6K3BZGB,Enzo,"ENZO | All-in-One Liquid Laundry Detergent | Tough Stain Remover | Front Load, Top Load & Hand Wash | Fresh Fragrance | 2L",2 l,2.0,l,199.0,195.0,2.01,5.0,2,,https://m.media-amazon.com/images/I/71XKKh7WfOL._AC_UL320_.jpg,Amazon India,2026-08-18,2000.0,,9.75,,Enzo,Competitor,2.0100502512562812,Liquid Detergent,9.75,100.0,Excellent,False
B0F5MZJBPP,Vooki,"Vooki Biosense Top And Front Load Liquid Detergent With Double Concentrated Formula for Tough Stain Remover, Enhances Fabric Life & Softness - 801 ml (Pack of 2)",801 ml,801.0,ml,,738.0,,4.1,356,,https://m.media-amazon.com/images/I/71oHPT-NNmL._AC_UL320_.jpg,Amazon India,2026-08-18,801.0,,92.13483146067416,,Vooki,Competitor,,Liquid Detergent,92.13483146067416,100.0,Excellent,False
B0D6RKR54N,Safewash,Safewash Front Load Matic Premium Liquid Detergent Refill Pouch | Colour Protect Technology | 2X Stain Removal | Suitable for All Fabrics | 3L or above,3 l,3.0,l,715.0,355.0,50.35,4.4,534,,https://m.media-amazon.com/images/I/619Yj-RaAiL._AC_UL320_.jpg,Amazon India,2026-08-18,3000.0,,11.833333333333334,,Safewash,Competitor,50.349650349650354,Liquid Detergent,11.833333333333334,100.0,Excellent,False
B0DPX93PJ9,Surf Excel,"Surf Excel Matic Top Load Liquid Detergent 5Kg Refill Pouch, Specially designed to remove Tough Dried Stains, 1st time in Washing Machine",5 kg,5.0,kg,740.0,651.0,12.03,4.4,6,https://www.amazon.in/Surf-Excel-Detergent-Specially-designed/dp/B0DPX93PJ9/ref=sr_1_6,https://m.media-amazon.com/images/I/61ShrCBCKrL._AC_UL320_.jpg,Amazon India,2026-08-18,5000.0,5000.0,,13.02,Surf Excel,Competitor,12.027027027027028,Liquid Detergent,13.020000000000001,100.0,Excellent,False
B0GPRPQF23,Godrej Fab,Godrej Fab Liquid Detergent Refill Pouch for Machine & Hand Wash - 5L/5kg,5 l,5.0,l,599.0,525.0,12.35,4.3,13,https://www.amazon.in/Godrej-Fab-Liquid-Detergent-Machine/dp/B0GPRPQF23/ref=sr_1_7,https://m.media-amazon.com/images/I/81j4fQTBsYL._AC_UL320_.jpg,Amazon India,2026-08-18,5000.0,,10.5,,Godrej Fab,Competitor,12.353923205342237,Liquid Detergent,10.5,100.0,Excellent,False
B0CTH85SN6,Tide,Tide Power Gel Liquid Detergent for Top Load & Front Load - 3.2kg | 2x Deep Clean Power | Removes Stains & Dirt | Freshness Boost | Fresh Fragrance,3.2 kg,3.2,kg,405.0,368.0,9.14,4.3,4,https://www.amazon.in/Tide-Liquid-Detergent-Washing-Machine/dp/B0CTH85SN6/ref=sr_1_8,https://m.media-amazon.com/images/I/71d3DWhL10L._AC_UL320_.jpg,Amazon India,2026-08-18,3200.0,3200.0,,11.5,Tide,Competitor,9.135802469135802,Liquid Detergent,11.5,100.0,Excellent,False
B0D2F7NS75,More,"More Light Extra Power Liquid Detergent 5 Litre Pouch with Enzymatic Action Removes Tough Stain | Laundry Liquid Detergent with Refreshing Fragrance for Bucket Wash, Top Load & Front Load Machines",5 l,5.0,l,525.0,399.0,24.0,4.2,4,https://www.amazon.in/Detergent-Enzymatic-Refreshing-Fragrance-Machines/dp/B0D2F7NS75/ref=sr_1_9,https://m.media-amazon.com/images/I/71MmsLIiu5L._AC_UL320_.jpg,Amazon India,2026-08-18,5000.0,,7.979999999999999,,More,Competitor,24.0,Liquid Detergent,7.9799999999999995,100.0,Excellent,False
B0B6J1GM93,Tide,Tide Power Gel Liquid Detergent for Top Load & Front Load - 1kg | 2x Deep Clean Power | Removes Stains & Dirt | Freshness Boost | Fresh Fragrance,1 kg,1.0,kg,217.0,188.0,13.36,4.3,4,,https://m.media-amazon.com/images/I/71CJTz45L4L._AC_UL320_.jpg,Amazon India,2026-08-18,1000.0,1000.0,,18.8,Tide,Competitor,13.36405529953917,Liquid Detergent,18.8,100.0,Excellent,True
B0D6Y9ZTQN,Presto,Amazon Brand - Presto! Active Wash Detergent Liquid | Tough on Stains| Gentle on Fabrics | Colour-Safe (5L),5 l,5.0,l,1000.0,445.0,55.5,4.0,1,,https://m.media-amazon.com/images/I/61PHn1lxiUL._AC_UL320_.jpg,Amazon India,2026-08-18,5000.0,,8.9,,Presto,Competitor,55.50000000000001,Liquid Detergent,8.9,100.0,Excellent,False
